loan_status,in_loantype,loanperiod,loan_type,cash_loan_volume,upgrade_loan_volume,existing_num_loans,allowed_ppl,decrease_rate,result
0,0,414.67457419378684,0,3.832804283972596,8.44602194106687,3.053903174684945,0.6339125795159978,0.5596632297821548,-155.675
0,0,532.6441787248987,0,5.613297469062379,1.448219677774647,3.1828501705148153,0.9477219001932603,0.45869663604149036,0.0
0,0,314.778902369342,0,3.8367280743693195,8.313449012939323,3.0623403659247797,0.37667077410855265,0.5596734010375258,0.0
0,0,437.74323425627927,0,3.84985692031182,6.098449792952712,3.092177014977324,0.5534575071511976,0.5445225296072229,0.0
0,0,555.0661815294137,0,8.996305028721052,7.059212680812324,2.7416148650750505,0.11450124540930381,0.30819702917090114,0.0
0,0,746.2647577401696,1,5.666568542712896,6.859590302319434,1.4419887659452644,0.2669493840201896,0.4886349823606685,0.0
0,0,750.9709860704831,0,5.494183042649536,6.111582167465544,2.689148826058969,0.2563545876488572,0.17714181436516857,-162.425
1,0,751.3633447130642,1,5.503927326706701,6.5732665134256845,2.6415545257348967,0.8360875704880596,0.15693319180862833,0.0
0,0,757.5101166267624,1,5.3616978366442565,8.989193169127866,2.79729503454153,0.10042605178336167,0.4852687006006182,-35.9
0,0,462.7416391903216,0,5.1292168996980285,6.815738384402684,2.7330483104233387,0.18746074336848684,0.3271145875210114,0.0
0,0,750.9094994762341,0,4.669335118408595,6.14132560014344,2.6870401110001905,0.25995225074815725,0.3560772626420641,-156.5375
0,0,749.1162896959204,0,8.036470975058155,6.114634725910888,2.6898680400012447,0.2569062295312371,0.1490482504763591,0.0
0,0,420.6409615459685,0,3.951401574073568,8.542188030451427,3.020199815396762,0.6507518257562013,0.6064655651214439,0.0
0,0,632.3816263681128,1,5.6276875593406865,2.0779578515028696,3.1872025332480987,0.30689802751913986,0.45967194020736013,-29.9625
0,0,608.600594148958,0,5.6464763491727945,3.1077912680917352,7.4952751622904294,0.27588793276959966,0.4837690043915861,0.0
0,0,751.0312836430294,0,5.481111154798591,6.112963276374424,3.79441874410811,0.25628463208018826,0.177192049061621,-158.975
1,0,744.8077205057568,0,5.652884891400933,6.568961279279495,3.787161496602771,0.277348693350492,0.4845147255132687,0.0
